epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.3112,3.85114,3.5347,3.76741,0.06705,0.06798,0.01952,0.00468,2.6306,3.57461,3.38835,0.070086,0.00332378,0.00332378
2,103.479,2.72248,2.93899,2.77582,0.18982,0.19101,0.09375,0.02887,2.12908,2.89251,2.55252,0.0400557,0.00662689,0.00662689
3,153.57,2.04209,2.5379,2.17436,0.21849,0.23146,0.13885,0.04431,1.93331,3.05593,2.30862,0.00999523,0.00989972,0.00989972
4,203.624,1.81123,2.36004,1.96248,0.30015,0.27022,0.20737,0.071,1.88896,2.39023,2.16514,0.00986377,0.00986377,0.00986377
5,254.615,1.73083,2.23776,1.85744,0.3466,0.31461,0.23326,0.08269,1.6613,2.29315,1.96681,0.00981836,0.00981836,0.00981836
6,304.963,1.64104,2.12971,1.79021,0.3704,0.32191,0.2702,0.09507,1.64016,2.1203,1.94072,0.00977295,0.00977295,0.00977295
7,355.789,1.601,2.0636,1.74304,0.43415,0.33315,0.31355,0.11709,1.63322,2.06237,1.91802,0.00972755,0.00972755,0.00972755
8,406.233,1.56464,2.00306,1.71683,0.44273,0.36517,0.34827,0.13027,1.627,1.92392,1.88446,0.00968214,0.00968214,0.00968214
9,456.653,1.52478,1.95021,1.68351,0.44315,0.37978,0.34292,0.12962,1.5651,1.86918,1.85739,0.00963673,0.00963673,0.00963673
10,507.018,1.50063,1.8892,1.65518,0.42323,0.36124,0.32686,0.12333,1.60683,2.00768,1.86639,0.00959132,0.00959132,0.00959132
11,557.249,1.47273,1.86514,1.64067,0.51309,0.38989,0.39605,0.15472,1.50754,1.79471,1.78276,0.00954591,0.00954591,0.00954591
12,607.596,1.44795,1.84265,1.62607,0.48739,0.40618,0.39278,0.14494,1.51688,1.91879,1.79019,0.0095005,0.0095005,0.0095005
13,657.608,1.4489,1.81533,1.60474,0.51417,0.41685,0.41229,0.16395,1.49408,1.77258,1.78387,0.00945509,0.00945509,0.00945509
14,707.405,1.41855,1.7858,1.59259,0.51397,0.40043,0.41551,0.16581,1.51779,1.71925,1.78169,0.00940968,0.00940968,0.00940968
15,757.314,1.4044,1.75168,1.58485,0.4744,0.44419,0.42795,0.1603,1.50018,1.72944,1.76999,0.00936427,0.00936427,0.00936427
16,807.149,1.38992,1.73477,1.57026,0.50661,0.42753,0.4267,0.17403,1.46492,1.68088,1.74878,0.00931886,0.00931886,0.00931886
17,856.944,1.3746,1.69025,1.55134,0.50541,0.39095,0.40673,0.16878,1.45766,1.81458,1.75239,0.00927345,0.00927345,0.00927345
18,907.33,1.37036,1.67694,1.54047,0.52609,0.43876,0.45024,0.18629,1.42633,1.65832,1.71178,0.00922805,0.00922805,0.00922805
19,957.806,1.35474,1.66849,1.52704,0.55889,0.46124,0.48416,0.20039,1.43727,1.62673,1.71406,0.00918264,0.00918264,0.00918264
20,1009.03,1.34176,1.65975,1.53685,0.55205,0.4618,0.48911,0.2055,1.4048,1.59027,1.72329,0.00913723,0.00913723,0.00913723
21,1060.16,1.31593,1.6169,1.51094,0.58134,0.44382,0.47694,0.20419,1.38432,1.6232,1.68497,0.00909182,0.00909182,0.00909182
22,1111.13,1.31535,1.59749,1.50398,0.56305,0.43146,0.45343,0.19332,1.42612,1.59256,1.69842,0.00904641,0.00904641,0.00904641
23,1162.19,1.30828,1.59478,1.512,0.54475,0.4573,0.48096,0.19964,1.39917,1.56895,1.68588,0.009001,0.009001,0.009001
24,1212.25,1.30306,1.58518,1.50145,0.56489,0.4646,0.50001,0.20936,1.41576,1.54746,1.66676,0.00895559,0.00895559,0.00895559
25,1262.64,1.28578,1.56771,1.4913,0.58747,0.46001,0.49649,0.21362,1.39123,1.54765,1.657,0.00891018,0.00891018,0.00891018
26,1313.05,1.28132,1.54889,1.48966,0.59959,0.43157,0.48188,0.21,1.40401,1.55204,1.69356,0.00886477,0.00886477,0.00886477
27,1363.6,1.27101,1.54031,1.47186,0.56057,0.46728,0.48906,0.20495,1.43092,1.52373,1.71078,0.00881936,0.00881936,0.00881936
28,1413.84,1.26698,1.53165,1.48018,0.56065,0.47753,0.51426,0.21838,1.36784,1.52595,1.67204,0.00877395,0.00877395,0.00877395
29,1464.46,1.25726,1.51146,1.475,0.60547,0.47161,0.51552,0.23056,1.38022,1.5042,1.67532,0.00872855,0.00872855,0.00872855
30,1514.89,1.25082,1.49648,1.46398,0.59866,0.47767,0.52487,0.23684,1.37792,1.47413,1.66752,0.00868314,0.00868314,0.00868314
31,1565.29,1.23801,1.47406,1.45971,0.59242,0.49438,0.53673,0.23379,1.36802,1.48725,1.6563,0.00863773,0.00863773,0.00863773
32,1615.68,1.24784,1.48048,1.45744,0.59908,0.48202,0.53362,0.23763,1.36381,1.46532,1.68453,0.00859232,0.00859232,0.00859232
33,1666.17,1.23489,1.46743,1.44967,0.5851,0.48803,0.52518,0.23386,1.34626,1.48472,1.64255,0.00854691,0.00854691,0.00854691
34,1716.29,1.21616,1.43946,1.4427,0.59813,0.49607,0.54152,0.2477,1.34588,1.46968,1.64951,0.0085015,0.0085015,0.0085015
35,1766.6,1.22879,1.4289,1.44148,0.63344,0.47978,0.53953,0.24251,1.39181,1.46115,1.66368,0.00845609,0.00845609,0.00845609
36,1816.68,1.2104,1.41723,1.44385,0.60988,0.49663,0.53586,0.23929,1.37106,1.43243,1.66057,0.00841068,0.00841068,0.00841068
37,1866.7,1.19312,1.40008,1.44655,0.58309,0.51236,0.54154,0.2478,1.36407,1.43081,1.66618,0.00836527,0.00836527,0.00836527
38,1917.39,1.18675,1.38841,1.42204,0.63877,0.50393,0.56502,0.25702,1.33116,1.39946,1.63548,0.00831986,0.00831986,0.00831986
39,1967.79,1.1951,1.38645,1.42203,0.62979,0.52079,0.55956,0.24879,1.37512,1.42114,1.65166,0.00827445,0.00827445,0.00827445
40,2018.19,1.19079,1.381,1.42178,0.6087,0.51475,0.55861,0.26114,1.30999,1.36142,1.61518,0.00822905,0.00822905,0.00822905
