epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.2667,2.72174,3.19974,3.41451,0.07123,0.10843,0.03266,0.00912,1.90114,3.86544,2.94591,0.070086,0.00332378,0.00332378
2,171.076,1.82947,2.65598,2.61058,0.2309,0.18371,0.11543,0.03559,1.60243,2.63509,2.5562,0.0400557,0.00662689,0.00662689
3,254.371,1.45442,2.37034,2.23427,0.26113,0.23708,0.1519,0.04907,1.40884,2.74056,2.33548,0.00999523,0.00989972,0.00989972
4,336.78,1.30207,2.22356,2.07164,0.32528,0.26348,0.21535,0.0732,1.31282,2.42809,2.19864,0.00986377,0.00986377,0.00986377
5,419.228,1.23707,2.10003,1.98632,0.36058,0.35,0.25584,0.08658,1.29857,2.10671,2.1837,0.00981836,0.00981836,0.00981836
6,501.822,1.17159,1.98891,1.92404,0.39223,0.34438,0.28929,0.10833,1.23629,1.98377,2.08375,0.00977295,0.00977295,0.00977295
7,587.421,1.13541,1.92395,1.88462,0.41084,0.33966,0.31998,0.11814,1.25537,1.92917,2.13485,0.00972755,0.00972755,0.00972755
8,669.584,1.10964,1.89696,1.84851,0.46291,0.37079,0.36281,0.13618,1.19879,1.81822,2.03336,0.00968214,0.00968214,0.00968214
9,752.431,1.07718,1.82334,1.8259,0.45231,0.38258,0.37263,0.13114,1.2008,1.81955,2.04554,0.00963673,0.00963673,0.00963673
10,834.681,1.05474,1.78224,1.79498,0.49277,0.39607,0.3876,0.15128,1.13248,1.8797,1.9672,0.00959132,0.00959132,0.00959132
11,917.853,1.03919,1.75203,1.77347,0.51909,0.42135,0.42939,0.16539,1.12572,1.64636,1.95369,0.00954591,0.00954591,0.00954591
12,999.963,1.02648,1.73953,1.76889,0.49507,0.40449,0.39808,0.15634,1.16602,1.7421,1.99586,0.0095005,0.0095005,0.0095005
13,1083.97,1.02332,1.70392,1.75167,0.53458,0.42921,0.44731,0.17219,1.08819,1.73838,1.91947,0.00945509,0.00945509,0.00945509
14,1169.36,1.00144,1.68203,1.73811,0.5491,0.41124,0.42763,0.17275,1.05329,1.62806,1.88989,0.00940968,0.00940968,0.00940968
15,1252.09,0.99386,1.64947,1.73012,0.54927,0.42514,0.43982,0.17399,1.11067,1.60628,1.94396,0.00936427,0.00936427,0.00936427
16,1339.81,0.98603,1.64527,1.71757,0.53811,0.43933,0.45013,0.1845,1.05738,1.56241,1.87402,0.00931886,0.00931886,0.00931886
17,1424.23,0.97153,1.59767,1.702,0.54465,0.4173,0.44616,0.1907,1.04954,1.58283,1.88592,0.00927345,0.00927345,0.00927345
18,1512.82,0.96486,1.59209,1.68461,0.58832,0.43708,0.46429,0.19682,1.02162,1.60948,1.83151,0.00922805,0.00922805,0.00922805
19,1600.95,0.95552,1.58583,1.67085,0.55537,0.46174,0.47796,0.20201,1.02797,1.60467,1.82477,0.00918264,0.00918264,0.00918264
20,1682.76,0.9508,1.5764,1.68007,0.57136,0.45112,0.49225,0.21305,1.03969,1.49979,1.85977,0.00913723,0.00913723,0.00913723
21,1767.23,0.93187,1.5217,1.65653,0.59966,0.45562,0.49919,0.21057,1.01848,1.54856,1.83663,0.00909182,0.00909182,0.00909182
22,1850.15,0.92966,1.52191,1.64505,0.60484,0.44028,0.47832,0.20562,1.04342,1.58145,1.87946,0.00904641,0.00904641,0.00904641
23,1932.78,0.92197,1.50927,1.647,0.58115,0.44275,0.49571,0.21197,0.98935,1.50835,1.81231,0.009001,0.009001,0.009001
24,2015.15,0.917,1.50609,1.63996,0.61571,0.45337,0.51655,0.22653,0.9884,1.46037,1.79638,0.00895559,0.00895559,0.00895559
25,2097.3,0.90699,1.47851,1.62347,0.62793,0.45899,0.51084,0.22595,1.02823,1.48846,1.83382,0.00891018,0.00891018,0.00891018
26,2180.24,0.90661,1.47255,1.62455,0.60654,0.44101,0.4981,0.21978,1.00489,1.46701,1.80935,0.00886477,0.00886477,0.00886477
27,2262.76,0.89598,1.45908,1.601,0.59607,0.49576,0.52339,0.22716,1.00557,1.43467,1.81889,0.00881936,0.00881936,0.00881936
28,2347.52,0.8867,1.45143,1.60149,0.58354,0.46443,0.51686,0.22901,0.98279,1.44566,1.78096,0.00877395,0.00877395,0.00877395
29,2432.28,0.88402,1.4277,1.59641,0.61755,0.4581,0.51984,0.23512,0.97133,1.42194,1.78078,0.00872855,0.00872855,0.00872855
30,2514.85,0.87277,1.40926,1.58129,0.60976,0.47978,0.52834,0.23946,0.99156,1.40025,1.8003,0.00868314,0.00868314,0.00868314
31,2597.66,0.87042,1.39858,1.58458,0.65255,0.4917,0.54534,0.23734,0.97937,1.39833,1.79418,0.00863773,0.00863773,0.00863773
32,2682,0.87214,1.39422,1.5777,0.65886,0.47089,0.53504,0.24417,0.97949,1.38934,1.78583,0.00859232,0.00859232,0.00859232
33,2764.39,0.8616,1.38517,1.56517,0.58259,0.49326,0.54092,0.24691,0.96232,1.36924,1.77187,0.00854691,0.00854691,0.00854691
34,2846.44,0.85376,1.35798,1.56004,0.63741,0.49831,0.56178,0.25834,0.96756,1.35863,1.76743,0.0085015,0.0085015,0.0085015
35,2928.67,0.8569,1.35085,1.55291,0.6213,0.47374,0.53284,0.24281,0.98753,1.38548,1.79507,0.00845609,0.00845609,0.00845609
36,3010.95,0.84691,1.34221,1.55539,0.64348,0.48539,0.55023,0.24843,0.96776,1.35774,1.779,0.00841068,0.00841068,0.00841068
37,3095.74,0.83826,1.31689,1.55846,0.66966,0.49157,0.56952,0.25991,0.9838,1.35904,1.77761,0.00836527,0.00836527,0.00836527
38,3177.82,0.83229,1.31765,1.535,0.66317,0.50112,0.56846,0.26589,0.96485,1.33415,1.76123,0.00831986,0.00831986,0.00831986
39,3260.69,0.83681,1.31081,1.53698,0.63618,0.48989,0.55194,0.258,0.96699,1.37712,1.77152,0.00827445,0.00827445,0.00827445
40,3343.44,0.83384,1.30865,1.53472,0.65147,0.48427,0.54067,0.25137,0.96786,1.33807,1.76578,0.00822905,0.00822905,0.00822905
41,3427.47,0.82463,1.29593,1.52547,0.65262,0.50056,0.56686,0.26585,0.94201,1.31656,1.73881,0.00818364,0.00818364,0.00818364
42,3509.5,0.81695,1.27241,1.52247,0.66815,0.47472,0.568,0.26179,0.96232,1.33323,1.76695,0.00813823,0.00813823,0.00813823
43,3593.88,0.82136,1.266,1.52238,0.64332,0.52079,0.58139,0.27473,0.95251,1.27878,1.75178,0.00809282,0.00809282,0.00809282
44,3678.48,0.81695,1.27941,1.524,0.66662,0.50225,0.58646,0.27616,0.9455,1.27517,1.7524,0.00804741,0.00804741,0.00804741
45,3762.01,0.80763,1.23643,1.51087,0.66315,0.50843,0.57856,0.27085,0.9557,1.29029,1.75914,0.008002,0.008002,0.008002
46,3846.58,0.7968,1.23786,1.50192,0.66118,0.4809,0.55976,0.2659,0.94291,1.32334,1.75083,0.00795659,0.00795659,0.00795659
47,3929.74,0.80377,1.23058,1.49898,0.66855,0.51106,0.59199,0.27981,0.95318,1.25583,1.74589,0.00791118,0.00791118,0.00791118
48,4015.24,0.80238,1.23109,1.49569,0.67563,0.51371,0.58807,0.28791,0.91943,1.24902,1.72641,0.00786577,0.00786577,0.00786577
49,4098.87,0.79013,1.2133,1.48983,0.66917,0.53146,0.60183,0.29131,0.933,1.23518,1.73082,0.00782036,0.00782036,0.00782036
50,4181.43,0.78822,1.21189,1.49325,0.66424,0.52135,0.58832,0.27861,0.91718,1.2535,1.71234,0.00777495,0.00777495,0.00777495
51,4265,0.78342,1.1977,1.4856,0.66481,0.5264,0.59018,0.28971,0.927,1.23695,1.7365,0.00772955,0.00772955,0.00772955
52,4347.55,0.77666,1.1881,1.47741,0.66002,0.54641,0.61039,0.29737,0.92524,1.22697,1.71542,0.00768414,0.00768414,0.00768414
53,4429.68,0.78062,1.19225,1.48235,0.64633,0.53593,0.5933,0.2908,0.94034,1.21178,1.74866,0.00763873,0.00763873,0.00763873
54,4511.72,0.77057,1.17016,1.46553,0.68051,0.53427,0.60283,0.29405,0.89844,1.21532,1.69184,0.00759332,0.00759332,0.00759332
55,4594.11,0.77207,1.17212,1.46485,0.67003,0.54326,0.60548,0.30041,0.93221,1.20624,1.72918,0.00754791,0.00754791,0.00754791
56,4676.26,0.76015,1.15164,1.4649,0.66162,0.55363,0.60863,0.29746,0.93675,1.19786,1.72651,0.0075025,0.0075025,0.0075025
57,4760.73,0.75603,1.15626,1.45625,0.65789,0.5264,0.60418,0.29575,0.92782,1.2092,1.72431,0.00745709,0.00745709,0.00745709
58,4842.87,0.76002,1.14581,1.45524,0.68177,0.51742,0.59872,0.29295,0.9304,1.221,1.72912,0.00741168,0.00741168,0.00741168
59,4926.24,0.75767,1.14224,1.44982,0.67725,0.54228,0.61136,0.30643,0.91499,1.18776,1.70358,0.00736627,0.00736627,0.00736627
