epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.921,2.55669,4.35495,3.36054,0.1139,0.12247,0.04767,0.01191,2.24178,3.89981,3.10002,0.070086,0.00332378,0.00332378
2,273.258,1.99177,3.29389,2.71039,0.29028,0.20225,0.14729,0.04853,1.72051,2.89533,2.52485,0.040056,0.00662716,0.00662716
3,409.388,1.59762,2.78206,2.24009,0.29318,0.29438,0.19951,0.06685,1.56942,2.68409,2.3224,0.00999605,0.00990053,0.00990053
4,544.549,1.44243,2.52706,2.02361,0.37887,0.31404,0.26669,0.09529,1.47014,2.42448,2.1598,0.009865,0.009865,0.009865
5,683.156,1.36781,2.36952,1.9244,0.36742,0.35225,0.28694,0.10181,1.41671,2.32371,2.10795,0.00982,0.00982,0.00982
6,820.025,1.31753,2.22572,1.85357,0.41956,0.3464,0.30466,0.10904,1.40198,2.28535,2.09205,0.009775,0.009775,0.009775
7,957.303,1.29128,2.15885,1.82072,0.44157,0.37271,0.34966,0.13313,1.30165,2.19813,1.94421,0.00973,0.00973,0.00973
8,1093.26,1.2613,2.06453,1.79486,0.47209,0.37378,0.37778,0.14875,1.31985,1.96706,1.96838,0.009685,0.009685,0.009685
9,1231.28,1.25446,2.03209,1.78036,0.48266,0.40201,0.40589,0.15567,1.30684,2.02826,1.96418,0.00964,0.00964,0.00964
10,1368.97,1.23876,1.98535,1.75466,0.55258,0.39213,0.42313,0.16698,1.2935,1.94252,1.89495,0.009595,0.009595,0.009595
11,1507.12,1.22423,1.93795,1.73702,0.52955,0.40056,0.42754,0.16766,1.27082,1.86569,1.89009,0.00955,0.00955,0.00955
12,1643.44,1.20758,1.86651,1.7089,0.56531,0.43146,0.45867,0.18688,1.26016,1.83766,1.85561,0.009505,0.009505,0.009505
13,1780.7,1.19987,1.86091,1.70468,0.53579,0.44775,0.45667,0.18971,1.26047,1.81908,1.87162,0.00946,0.00946,0.00946
14,1916.68,1.1862,1.78673,1.69156,0.55859,0.42865,0.45579,0.1887,1.24716,1.81296,1.85675,0.009415,0.009415,0.009415
15,2054.86,1.18136,1.7873,1.68176,0.57273,0.42921,0.46979,0.1994,1.24107,1.75661,1.85845,0.00937,0.00937,0.00937
16,2194.37,1.17369,1.74918,1.67809,0.57149,0.4503,0.47309,0.19852,1.22889,1.79433,1.83413,0.009325,0.009325,0.009325
17,2333,1.15944,1.70628,1.66196,0.59158,0.49213,0.50444,0.21079,1.24279,1.74839,1.84902,0.00928,0.00928,0.00928
18,2469.96,1.14927,1.68769,1.65447,0.59022,0.45899,0.49773,0.2146,1.2261,1.73083,1.83058,0.009235,0.009235,0.009235
19,2608.39,1.14727,1.67043,1.64928,0.60138,0.46786,0.49881,0.20985,1.22864,1.72734,1.82581,0.00919,0.00919,0.00919
20,2744.81,1.14374,1.65448,1.63005,0.58377,0.48064,0.50351,0.21157,1.23097,1.75601,1.84195,0.009145,0.009145,0.009145
21,2882.79,1.13403,1.60857,1.62926,0.59816,0.50225,0.52668,0.2272,1.20615,1.62969,1.8106,0.0091,0.0091,0.0091
22,3018.56,1.13646,1.6074,1.63143,0.61533,0.48527,0.5304,0.22898,1.19907,1.62198,1.79087,0.009055,0.009055,0.009055
23,3156.84,1.12055,1.57945,1.61282,0.58196,0.46926,0.5002,0.22057,1.20616,1.66431,1.82067,0.00901,0.00901,0.00901
24,3294.2,1.11737,1.55527,1.60602,0.61756,0.48626,0.52538,0.23068,1.1911,1.57553,1.79581,0.008965,0.008965,0.008965
25,3433.11,1.11217,1.55658,1.60825,0.61032,0.48482,0.51007,0.23439,1.18742,1.63666,1.79786,0.00892,0.00892,0.00892
26,3570.13,1.10706,1.52866,1.60761,0.61446,0.47865,0.5177,0.22636,1.22321,1.67579,1.83923,0.008875,0.008875,0.008875
27,3708.35,1.09865,1.49779,1.58923,0.61932,0.47809,0.53617,0.24252,1.19897,1.55225,1.80533,0.00883,0.00883,0.00883
28,3845.03,1.09235,1.49483,1.59295,0.62231,0.50634,0.55527,0.24697,1.1895,1.53111,1.8028,0.008785,0.008785,0.008785
29,3983,1.09087,1.48707,1.5828,0.53277,0.49944,0.52323,0.23764,1.19444,1.51592,1.81807,0.00874,0.00874,0.00874
30,4119.75,1.07794,1.45674,1.57818,0.62957,0.48982,0.5422,0.24421,1.20411,1.52975,1.82057,0.008695,0.008695,0.008695
31,4255.62,1.07191,1.43663,1.57066,0.64186,0.50225,0.557,0.2537,1.1964,1.49351,1.80403,0.00865,0.00865,0.00865
32,4391.73,1.07094,1.41984,1.56057,0.64051,0.51067,0.57056,0.25647,1.18599,1.46,1.7998,0.008605,0.008605,0.008605
33,4529.34,1.06535,1.4066,1.55671,0.6235,0.53652,0.58678,0.26855,1.17778,1.43383,1.77402,0.00856,0.00856,0.00856
