epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.9905,2.70393,4.65879,3.73449,0.10957,0.12416,0.04585,0.01219,2.22213,4.05224,3.39486,0.070086,0.00332378,0.00332378
2,135.79,2.1556,3.38605,3.0274,0.20869,0.21348,0.12035,0.03546,1.81404,3.33046,2.85622,0.0400557,0.00662689,0.00662689
3,201.656,1.74281,2.84303,2.53307,0.26879,0.28146,0.17599,0.05542,1.67102,3.20844,2.62265,0.00999523,0.00989972,0.00989972
4,268.625,1.58075,2.59922,2.30977,0.28529,0.257,0.17883,0.06406,1.59738,2.98016,2.52006,0.00986377,0.00986377,0.00986377
5,334.757,1.51611,2.42044,2.21172,0.33006,0.31966,0.24843,0.08315,1.54358,2.4828,2.41757,0.00981836,0.00981836,0.00981836
6,401.704,1.45444,2.25106,2.13553,0.43347,0.37079,0.33008,0.12018,1.46919,2.1547,2.31324,0.00977295,0.00977295,0.00977295
7,469.315,1.4212,2.15803,2.08587,0.40335,0.37135,0.32634,0.11611,1.45585,2.413,2.26758,0.00972755,0.00972755,0.00972755
8,538.379,1.39918,2.11071,2.06418,0.45173,0.36067,0.34192,0.1326,1.44041,2.11893,2.27066,0.00968214,0.00968214,0.00968214
9,606.073,1.37786,2.03476,2.03393,0.45724,0.37416,0.34641,0.12404,1.48373,2.19546,2.31941,0.00963673,0.00963673,0.00963673
10,673.741,1.35782,1.97797,2.01455,0.49551,0.35618,0.35467,0.14552,1.42884,2.27225,2.27616,0.00959132,0.00959132,0.00959132
11,741.368,1.34418,1.94751,1.98848,0.5067,0.40506,0.40859,0.15172,1.43543,1.91031,2.22466,0.00954591,0.00954591,0.00954591
12,809.199,1.33234,1.90816,1.98483,0.53788,0.37472,0.39129,0.15037,1.42111,1.96767,2.22259,0.0095005,0.0095005,0.0095005
13,878.25,1.32385,1.8882,1.95883,0.50471,0.41404,0.41936,0.16312,1.3803,2.0054,2.17848,0.00945509,0.00945509,0.00945509
14,946.051,1.30475,1.85121,1.94971,0.55461,0.40843,0.44572,0.17931,1.3795,1.81273,2.17023,0.00940968,0.00940968,0.00940968
15,1013.77,1.30489,1.8163,1.94532,0.55415,0.46853,0.47158,0.18316,1.3636,1.75854,2.1504,0.00936427,0.00936427,0.00936427
16,1082.65,1.2907,1.81179,1.92307,0.54013,0.42079,0.43805,0.17196,1.3723,1.75262,2.14614,0.00931886,0.00931886,0.00931886
17,1150.01,1.2773,1.76068,1.90659,0.57403,0.43652,0.4518,0.1882,1.32649,1.74054,2.09539,0.00927345,0.00927345,0.00927345
18,1218.08,1.26903,1.74598,1.89293,0.54264,0.4382,0.45438,0.18456,1.36635,1.76334,2.14569,0.00922805,0.00922805,0.00922805
19,1287.87,1.26052,1.73502,1.87915,0.59226,0.44663,0.49414,0.20532,1.33426,1.66231,2.09856,0.00918264,0.00918264,0.00918264
20,1355.71,1.25514,1.71784,1.88955,0.58419,0.43708,0.47878,0.19781,1.33889,1.74217,2.11886,0.00913723,0.00913723,0.00913723
21,1424.37,1.23616,1.65817,1.85632,0.56105,0.45381,0.49655,0.20923,1.29622,1.71116,2.04878,0.00909182,0.00909182,0.00909182
22,1492.16,1.2323,1.64949,1.84997,0.58805,0.43947,0.48225,0.20788,1.34061,1.69076,2.13481,0.00904641,0.00904641,0.00904641
23,1559.78,1.2255,1.63143,1.85759,0.60375,0.4618,0.51452,0.21447,1.28372,1.64445,2.03533,0.009001,0.009001,0.009001
24,1627.25,1.2219,1.62835,1.84807,0.61989,0.46404,0.50594,0.22038,1.30542,1.65512,2.05326,0.00895559,0.00895559,0.00895559
25,1695.11,1.21087,1.60716,1.83223,0.60931,0.47472,0.50623,0.22019,1.30422,1.61313,2.05065,0.00891018,0.00891018,0.00891018
26,1763.12,1.21152,1.59474,1.8364,0.59487,0.4372,0.49924,0.22063,1.29228,1.61123,2.06182,0.00886477,0.00886477,0.00886477
27,1830.14,1.1989,1.58216,1.8138,0.60653,0.49326,0.53157,0.22899,1.28703,1.54438,2.04983,0.00881936,0.00881936,0.00881936
28,1896.93,1.19537,1.56849,1.81983,0.63156,0.49213,0.53553,0.23727,1.25753,1.60418,2.00634,0.00877395,0.00877395,0.00877395
29,1963.78,1.18978,1.55253,1.80903,0.60518,0.48998,0.53545,0.22971,1.30179,1.55262,2.0537,0.00872855,0.00872855,0.00872855
30,2030.89,1.17966,1.52421,1.79498,0.62491,0.4691,0.52424,0.23998,1.28656,1.54187,2.03388,0.00868314,0.00868314,0.00868314
31,2097.57,1.17021,1.50431,1.7929,0.62596,0.48427,0.52994,0.23672,1.29068,1.60749,2.03164,0.00863773,0.00863773,0.00863773
32,2164.52,1.17449,1.50958,1.78985,0.64361,0.47528,0.52653,0.23197,1.2847,1.56776,2.03559,0.00859232,0.00859232,0.00859232
33,2231.42,1.16211,1.50245,1.77373,0.63522,0.48258,0.54792,0.2425,1.27158,1.54945,2.01512,0.00854691,0.00854691,0.00854691
34,2297.91,1.15645,1.46863,1.76942,0.6403,0.50502,0.55251,0.24862,1.25997,1.53254,2.00118,0.0085015,0.0085015,0.0085015
35,2364.67,1.16106,1.46253,1.76092,0.6452,0.47753,0.54436,0.2477,1.27124,1.52643,2.00795,0.00845609,0.00845609,0.00845609
36,2432.06,1.14784,1.44842,1.76489,0.63448,0.50904,0.55989,0.2525,1.25688,1.49168,1.99929,0.00841068,0.00841068,0.00841068
37,2498.69,1.13996,1.42358,1.76719,0.61441,0.51292,0.55105,0.24853,1.27417,1.5268,2.01002,0.00836527,0.00836527,0.00836527
