epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.9732,2.51459,2.98861,3.22133,0.15779,0.07303,0.03554,0.00919,2.31284,2.97212,3.01585,0.0700752,0.00332498,0.00332498
2,160.279,1.97505,2.63088,2.68737,0.26145,0.19888,0.13197,0.0399,1.7987,2.59026,2.60963,0.0400452,0.00662835,0.00662835
3,241.692,1.64022,2.44083,2.30903,0.25079,0.24101,0.15518,0.04916,1.61814,2.45871,2.34475,0.00998526,0.00990172,0.00990172
4,323.75,1.4917,2.31279,2.10666,0.28596,0.29157,0.18134,0.05977,1.52203,2.53286,2.23879,0.009865,0.009865,0.009865
5,405.205,1.41233,2.18038,2.01174,0.34722,0.33202,0.25496,0.09124,1.43227,2.15006,2.10565,0.00982,0.00982,0.00982
6,487.059,1.37979,2.09467,1.95825,0.38346,0.30169,0.23952,0.0849,1.46915,2.15014,2.16651,0.009775,0.009775,0.009775
7,569.245,1.33987,2.00792,1.91288,0.42397,0.3308,0.30192,0.11395,1.40983,2.03136,2.07933,0.00973,0.00973,0.00973
8,650.847,1.32617,1.96427,1.88736,0.4131,0.34045,0.31614,0.12467,1.39991,1.93185,2.06744,0.009685,0.009685,0.009685
9,731.809,1.30053,1.90657,1.87178,0.43839,0.39157,0.35134,0.12365,1.40883,1.90227,2.0949,0.00964,0.00964,0.00964
10,813.259,1.28432,1.85622,1.84233,0.46452,0.36292,0.35133,0.13938,1.36005,1.85036,2.0198,0.009595,0.009595,0.009595
11,895.458,1.27403,1.82749,1.81293,0.44451,0.38528,0.36997,0.1468,1.36313,1.82642,2.01063,0.00955,0.00955,0.00955
12,977.457,1.26056,1.79473,1.81014,0.4775,0.41292,0.38783,0.14914,1.356,1.71363,2.01716,0.009505,0.009505,0.009505
13,1058.75,1.25358,1.75433,1.80213,0.53786,0.39689,0.40887,0.16229,1.32489,1.80833,1.97422,0.00946,0.00946,0.00946
14,1140.8,1.23563,1.7332,1.78244,0.51811,0.43539,0.43904,0.17006,1.30751,1.76253,1.93643,0.009415,0.009415,0.009415
15,1222.15,1.23288,1.71389,1.78166,0.51792,0.42978,0.43273,0.1712,1.29665,1.72259,1.93668,0.00937,0.00937,0.00937
16,1303.76,1.23061,1.69389,1.77826,0.52424,0.41724,0.43066,0.17517,1.31262,1.65275,1.95712,0.009325,0.009325,0.009325
17,1385.17,1.22164,1.663,1.76689,0.5252,0.42921,0.42798,0.17197,1.3017,1.6937,1.95419,0.00928,0.00928,0.00928
18,1466.35,1.2131,1.6353,1.75411,0.57726,0.46348,0.49766,0.19486,1.27141,1.66086,1.92203,0.009235,0.009235,0.009235
19,1547.7,1.20315,1.62103,1.73949,0.56238,0.44719,0.46098,0.18399,1.29434,1.72279,1.94167,0.00919,0.00919,0.00919
20,1629.25,1.20529,1.62412,1.75057,0.58236,0.4309,0.46581,0.18739,1.29732,1.62702,1.95407,0.009145,0.009145,0.009145
21,1710.38,1.18722,1.58633,1.73333,0.54756,0.43202,0.44685,0.18927,1.27497,1.63446,1.92796,0.0091,0.0091,0.0091
22,1791.43,1.19,1.56824,1.7354,0.58745,0.43359,0.46374,0.19929,1.2711,1.61197,1.92424,0.009055,0.009055,0.009055
23,1872.53,1.18636,1.55962,1.73714,0.61281,0.46067,0.49741,0.20433,1.27862,1.58352,1.93532,0.00901,0.00901,0.00901
