epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.603,2.5579,4.1282,3.26426,0.14165,0.11517,0.04377,0.0097,2.37979,3.5798,3.07793,0.070086,0.00332378,0.00332378
2,226.904,2.03387,3.16093,2.68894,0.28309,0.23005,0.14889,0.0486,1.71371,3.07166,2.45485,0.0400557,0.00662689,0.00662689
3,341.812,1.62202,2.75012,2.24826,0.29204,0.27135,0.17458,0.05853,1.50533,2.8228,2.2064,0.00999523,0.00989972,0.00989972
4,454.084,1.45577,2.54429,2.04096,0.32742,0.30787,0.22683,0.08167,1.4571,2.49632,2.13587,0.00986377,0.00986377,0.00986377
5,566.714,1.38604,2.40824,1.9496,0.31929,0.31966,0.21646,0.07181,1.42751,2.5726,2.158,0.00981836,0.00981836,0.00981836
6,679.879,1.32503,2.254,1.87571,0.38092,0.31124,0.26489,0.09677,1.43278,2.38924,2.13728,0.00977295,0.00977295,0.00977295
7,792.637,1.3032,2.16619,1.84367,0.42442,0.39663,0.35382,0.12722,1.34552,2.244,2.01972,0.00972755,0.00972755,0.00972755
8,905.56,1.28014,2.11818,1.81607,0.4642,0.39494,0.35885,0.14046,1.35398,2.21001,2.02033,0.00968214,0.00968214,0.00968214
9,1018.02,1.26542,2.04781,1.8067,0.457,0.40056,0.37762,0.13572,1.35238,2.11891,2.02418,0.00963673,0.00963673,0.00963673
10,1130.6,1.24541,1.98865,1.77216,0.49157,0.41011,0.39625,0.15715,1.30977,2.0712,1.95172,0.00959132,0.00959132,0.00959132
11,1243.11,1.23477,1.94931,1.75807,0.49467,0.42753,0.42133,0.16532,1.31997,1.8815,1.93978,0.00954591,0.00954591,0.00954591
12,1355.21,1.22257,1.92484,1.75258,0.48726,0.41011,0.40232,0.15295,1.3334,1.94068,1.98887,0.0095005,0.0095005,0.0095005
13,1469.22,1.22244,1.89465,1.73645,0.52114,0.45225,0.44104,0.17235,1.2773,1.93096,1.87914,0.00945509,0.00945509,0.00945509
14,1581.26,1.20423,1.85484,1.72643,0.52625,0.39831,0.42316,0.17477,1.27131,1.85821,1.89584,0.00940968,0.00940968,0.00940968
15,1693.98,1.20498,1.82868,1.72718,0.556,0.51124,0.49358,0.1887,1.2995,1.88446,1.9415,0.00936427,0.00936427,0.00936427
16,1806.81,1.19388,1.82519,1.71393,0.51754,0.44888,0.46032,0.18642,1.26866,1.90106,1.90633,0.00931886,0.00931886,0.00931886
17,1919.95,1.18393,1.76281,1.70184,0.56307,0.41194,0.44223,0.17862,1.28145,1.8174,1.95585,0.00927345,0.00927345,0.00927345
18,2033.47,1.17427,1.75477,1.68828,0.56418,0.43989,0.47308,0.2006,1.25432,1.76362,1.87835,0.00922805,0.00922805,0.00922805
19,2149.21,1.16867,1.75301,1.68094,0.56575,0.46111,0.48196,0.19922,1.26645,1.75542,1.91099,0.00918264,0.00918264,0.00918264
20,2261,1.16809,1.73792,1.69404,0.58886,0.44157,0.4798,0.20189,1.24934,1.80617,1.88215,0.00913723,0.00913723,0.00913723
21,2373.43,1.15135,1.67136,1.66306,0.5845,0.48596,0.50938,0.21619,1.24383,1.72265,1.84412,0.00909182,0.00909182,0.00909182
22,2486.35,1.14737,1.66307,1.65573,0.57617,0.46461,0.5082,0.21378,1.25613,1.67779,1.87819,0.00904641,0.00904641,0.00904641
23,2599.52,1.1419,1.66115,1.65764,0.61476,0.44915,0.50553,0.20998,1.22955,1.71484,1.85772,0.009001,0.009001,0.009001
24,2711.52,1.13894,1.64502,1.65817,0.57721,0.47022,0.50631,0.21419,1.23139,1.71812,1.83283,0.00895559,0.00895559,0.00895559
25,2823.56,1.12877,1.6245,1.63994,0.59016,0.48315,0.52274,0.22758,1.23352,1.61037,1.84833,0.00891018,0.00891018,0.00891018
26,2935.23,1.12895,1.60505,1.63862,0.61216,0.47416,0.51759,0.22498,1.21386,1.6551,1.83134,0.00886477,0.00886477,0.00886477
27,3051.02,1.12238,1.58639,1.62787,0.5735,0.50899,0.54423,0.23852,1.20947,1.56965,1.82262,0.00881936,0.00881936,0.00881936
28,3165.83,1.11831,1.58028,1.6287,0.58836,0.48652,0.53666,0.23738,1.21363,1.57606,1.81174,0.00877395,0.00877395,0.00877395
29,3278.8,1.11156,1.5485,1.62297,0.58597,0.49101,0.52701,0.23309,1.208,1.61703,1.82588,0.00872855,0.00872855,0.00872855
30,3391.43,1.10877,1.53421,1.61108,0.59896,0.48833,0.53253,0.23677,1.20678,1.56682,1.8234,0.00868314,0.00868314,0.00868314
31,3503.74,1.10107,1.5082,1.61488,0.60931,0.51461,0.5483,0.24652,1.18573,1.54769,1.81979,0.00863773,0.00863773,0.00863773
32,3616.99,1.1033,1.50897,1.60873,0.61192,0.50506,0.54559,0.25165,1.19622,1.51331,1.80226,0.00859232,0.00859232,0.00859232
33,3729.11,1.09568,1.50692,1.60358,0.61717,0.51573,0.55444,0.24412,1.19889,1.52227,1.80412,0.00854691,0.00854691,0.00854691
34,3840.79,1.08408,1.47082,1.59098,0.64239,0.49888,0.56539,0.25518,1.18493,1.50276,1.79621,0.0085015,0.0085015,0.0085015
