epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.1342,2.55485,3.20822,3.53087,0.1386,0.09157,0.0447,0.01196,2.05714,3.21571,3.15641,0.070086,0.00332378,0.00332378
2,148.579,2.00253,2.66357,2.85795,0.18573,0.17416,0.09397,0.02883,1.79846,2.69971,2.82511,0.040056,0.00662716,0.00662716
3,226.766,1.67269,2.37741,2.4565,0.29857,0.25618,0.18603,0.06517,1.63649,2.8604,2.56208,0.00999605,0.00990053,0.00990053
4,304.056,1.53509,2.20864,2.25236,0.34514,0.31854,0.26038,0.08868,1.56784,2.12828,2.41987,0.009865,0.009865,0.009865
5,378.858,1.47412,2.10947,2.16557,0.30634,0.33989,0.22931,0.0812,1.48368,2.50878,2.29804,0.00982,0.00982,0.00982
6,452.047,1.41682,1.98982,2.08361,0.35906,0.35056,0.29893,0.1041,1.5118,1.92133,2.34469,0.009775,0.009775,0.009775
7,525.163,1.38977,1.9318,2.04581,0.42798,0.36629,0.3264,0.12214,1.45665,1.92046,2.27432,0.00973,0.00973,0.00973
8,598.351,1.36459,1.85176,2.02682,0.44851,0.39101,0.35937,0.14054,1.40386,1.75778,2.20157,0.009685,0.009685,0.009685
9,671.213,1.34879,1.83701,2.00353,0.478,0.40074,0.38716,0.14387,1.435,1.75766,2.26277,0.00964,0.00964,0.00964
10,744.535,1.33806,1.79649,1.99146,0.5273,0.41361,0.40334,0.15701,1.38416,1.70247,2.18505,0.009595,0.009595,0.009595
11,818.535,1.31927,1.75714,1.96658,0.51901,0.40337,0.42262,0.16228,1.40762,1.67987,2.2131,0.00955,0.00955,0.00955
12,891.937,1.30061,1.7089,1.9356,0.53908,0.42753,0.41387,0.15986,1.43424,1.66627,2.22368,0.009505,0.009505,0.009505
13,965.603,1.28955,1.69804,1.92632,0.55841,0.46035,0.47176,0.18712,1.34158,1.64161,2.11783,0.00946,0.00946,0.00946
14,1038.62,1.27953,1.64471,1.9205,0.54874,0.4379,0.46176,0.18524,1.35921,1.63716,2.136,0.009415,0.009415,0.009415
15,1110.97,1.27346,1.64389,1.90751,0.54764,0.44494,0.45504,0.18518,1.32886,1.58643,2.08855,0.00937,0.00937,0.00937
16,1184.6,1.26288,1.61333,1.88996,0.54108,0.41236,0.43854,0.17864,1.36432,1.61258,2.13247,0.009325,0.009325,0.009325
17,1256.96,1.24804,1.58569,1.88252,0.56814,0.47416,0.47662,0.19234,1.33501,1.54932,2.10135,0.00928,0.00928,0.00928
18,1329.57,1.23944,1.58216,1.8757,0.59529,0.42472,0.46091,0.19506,1.32266,1.63799,2.08939,0.009235,0.009235,0.009235
19,1402.82,1.23463,1.56241,1.86038,0.58357,0.43483,0.47349,0.19919,1.31784,1.59845,2.08602,0.00919,0.00919,0.00919
20,1476.22,1.22556,1.55521,1.83841,0.57785,0.47135,0.48437,0.20065,1.31559,1.59683,2.08125,0.009145,0.009145,0.009145
21,1550.95,1.21702,1.52755,1.83885,0.57285,0.49213,0.50364,0.20808,1.30968,1.50207,2.06234,0.0091,0.0091,0.0091
22,1625.02,1.21524,1.52474,1.83302,0.58726,0.47416,0.49261,0.21489,1.30838,1.52312,2.06183,0.009055,0.009055,0.009055
23,1698.51,1.19948,1.50262,1.81567,0.5751,0.46292,0.50223,0.22119,1.27541,1.48484,2.01994,0.00901,0.00901,0.00901
24,1772.24,1.19947,1.4837,1.81456,0.58732,0.46773,0.5161,0.22473,1.27056,1.46644,2.00888,0.008965,0.008965,0.008965
25,1847.64,1.19359,1.47695,1.80626,0.59683,0.48034,0.52202,0.2282,1.27332,1.44847,2.01146,0.00892,0.00892,0.00892
26,1921.15,1.1871,1.45931,1.80697,0.60044,0.46067,0.50596,0.22146,1.29891,1.49022,2.04696,0.008875,0.008875,0.008875
27,1994.66,1.17935,1.44481,1.78987,0.62222,0.47809,0.51895,0.22022,1.31469,1.51956,2.07069,0.00883,0.00883,0.00883
28,2067.96,1.17259,1.43311,1.78914,0.63924,0.47135,0.53369,0.23462,1.26792,1.46897,2.00276,0.008785,0.008785,0.008785
29,2141.09,1.17031,1.42022,1.77837,0.62196,0.45674,0.51476,0.23183,1.27172,1.41404,2.02546,0.00874,0.00874,0.00874
30,2214.53,1.15811,1.402,1.77628,0.61722,0.48989,0.5337,0.23341,1.28587,1.41626,2.02482,0.008695,0.008695,0.008695
31,2288.09,1.15107,1.38056,1.76647,0.6472,0.4764,0.53343,0.23729,1.26763,1.45359,2.00255,0.00865,0.00865,0.00865
32,2361.8,1.14628,1.37119,1.75094,0.62639,0.5073,0.55323,0.24747,1.25524,1.39004,1.99751,0.008605,0.008605,0.008605
33,2434.64,1.14312,1.35218,1.74203,0.59102,0.52472,0.5511,0.24391,1.27115,1.38139,1.98817,0.00856,0.00856,0.00856
34,2507.75,1.14024,1.34017,1.75452,0.60205,0.51461,0.55266,0.24752,1.2666,1.38851,2.00855,0.008515,0.008515,0.008515
35,2581.05,1.13856,1.34093,1.74732,0.62952,0.51739,0.55893,0.25121,1.27077,1.37236,2.00282,0.00847,0.00847,0.00847
36,2654.55,1.12359,1.31852,1.73575,0.64068,0.47179,0.54609,0.25062,1.22002,1.35735,1.95098,0.008425,0.008425,0.008425
37,2728.31,1.12566,1.29554,1.72904,0.64294,0.49663,0.54417,0.24713,1.26059,1.38885,1.99756,0.00838,0.00838,0.00838
38,2801.84,1.11752,1.28569,1.71703,0.6597,0.48876,0.56171,0.25584,1.25699,1.32542,1.9971,0.008335,0.008335,0.008335
39,2875.49,1.11378,1.28906,1.7132,0.62998,0.51517,0.57069,0.26435,1.2396,1.31565,1.96758,0.00829,0.00829,0.00829
40,2949.54,1.10678,1.26763,1.71611,0.66477,0.4991,0.5594,0.26023,1.25652,1.34538,1.99556,0.008245,0.008245,0.008245
41,3023.4,1.10781,1.2676,1.70306,0.67947,0.51292,0.5807,0.27013,1.22993,1.28199,1.94839,0.0082,0.0082,0.0082
42,3097.36,1.10636,1.25961,1.70458,0.63346,0.51556,0.56661,0.25317,1.26521,1.33713,2.01537,0.008155,0.008155,0.008155
43,3171.19,1.09352,1.2307,1.69964,0.65727,0.51573,0.57952,0.27132,1.24098,1.30709,1.95954,0.00811,0.00811,0.00811
44,3245.11,1.09054,1.23525,1.68228,0.65008,0.50393,0.56938,0.26617,1.27127,1.3005,2.00332,0.008065,0.008065,0.008065
45,3320.9,1.09284,1.23578,1.68987,0.66145,0.52137,0.57955,0.26284,1.24825,1.31669,1.98086,0.00802,0.00802,0.00802
46,3394.88,1.07852,1.21336,1.67051,0.66404,0.52855,0.60005,0.28008,1.22662,1.2352,1.95511,0.007975,0.007975,0.007975
47,3469.11,1.07478,1.19506,1.6731,0.67751,0.52528,0.59141,0.27612,1.23605,1.24364,1.98268,0.00793,0.00793,0.00793
48,3543.78,1.07595,1.18985,1.67253,0.65041,0.53483,0.59399,0.28551,1.21157,1.24445,1.93601,0.007885,0.007885,0.007885
49,3618.21,1.07502,1.19468,1.66636,0.68694,0.51124,0.58647,0.27307,1.23027,1.27396,1.94359,0.00784,0.00784,0.00784
50,3694.17,1.06731,1.19135,1.65808,0.66138,0.5234,0.59825,0.28008,1.23075,1.26532,1.94832,0.007795,0.007795,0.007795
51,3767.35,1.05587,1.16656,1.65489,0.67363,0.52643,0.59614,0.27889,1.23809,1.25096,1.98003,0.00775,0.00775,0.00775
52,3840.87,1.0594,1.16796,1.64718,0.66781,0.51067,0.59677,0.27812,1.23126,1.24288,1.95595,0.007705,0.007705,0.007705
53,3915.05,1.05476,1.14491,1.65453,0.64718,0.53587,0.59243,0.27775,1.22504,1.23325,1.971,0.00766,0.00766,0.00766
54,3988.29,1.04969,1.14044,1.62934,0.67868,0.5264,0.60064,0.28773,1.21528,1.21143,1.93309,0.007615,0.007615,0.007615
55,4061.72,1.05162,1.14436,1.63757,0.69362,0.51798,0.60469,0.2913,1.20815,1.18433,1.93442,0.00757,0.00757,0.00757
56,4135.32,1.04374,1.1233,1.63158,0.67114,0.54382,0.6114,0.30047,1.20337,1.19318,1.93433,0.007525,0.007525,0.007525
57,4208.7,1.04157,1.1323,1.62035,0.68311,0.52472,0.59897,0.28952,1.2119,1.22672,1.9499,0.00748,0.00748,0.00748
58,4281.85,1.03687,1.11884,1.63115,0.69948,0.52959,0.60655,0.29832,1.19867,1.1948,1.92048,0.007435,0.007435,0.007435
59,4355.2,1.02919,1.10374,1.61845,0.70204,0.5361,0.61148,0.29649,1.20235,1.18458,1.92383,0.00739,0.00739,0.00739
60,4432.23,1.02505,1.10368,1.60925,0.62596,0.5691,0.60697,0.29369,1.1894,1.20202,1.91369,0.007345,0.007345,0.007345
61,4505.45,1.02597,1.09227,1.6097,0.68685,0.53848,0.61701,0.29894,1.19329,1.17672,1.92409,0.0073,0.0073,0.0073
62,4578.14,1.02437,1.09325,1.61451,0.68821,0.5233,0.61574,0.30338,1.16623,1.18557,1.88563,0.007255,0.007255,0.007255
63,4651.22,1.02047,1.08452,1.60431,0.66205,0.5382,0.61103,0.30131,1.17668,1.17809,1.90544,0.00721,0.00721,0.00721
64,4727.04,1.01183,1.06898,1.59479,0.68212,0.53887,0.61399,0.30722,1.17947,1.17453,1.90656,0.007165,0.007165,0.007165
65,4799.89,1.01101,1.07527,1.5941,0.67927,0.54382,0.61778,0.30169,1.17561,1.15948,1.89765,0.00712,0.00712,0.00712
66,4872.09,1.00249,1.05523,1.59078,0.67891,0.5381,0.62452,0.30631,1.18216,1.15459,1.89732,0.007075,0.007075,0.007075
67,4944.48,1.00217,1.05317,1.58158,0.69735,0.55,0.62372,0.31265,1.15163,1.12939,1.86727,0.00703,0.00703,0.00703
68,5017.25,1.00191,1.06056,1.56994,0.71314,0.53258,0.62516,0.31314,1.15829,1.15777,1.87094,0.006985,0.006985,0.006985
69,5089.68,0.99614,1.05774,1.56536,0.64764,0.56292,0.61857,0.30892,1.15622,1.16037,1.86531,0.00694,0.00694,0.00694
70,5161.78,0.98985,1.04568,1.56697,0.65526,0.56629,0.62126,0.31084,1.16552,1.15585,1.88605,0.006895,0.006895,0.006895
71,5234.04,0.98824,1.03697,1.56102,0.69766,0.56067,0.63439,0.31879,1.15179,1.12627,1.87103,0.00685,0.00685,0.00685
72,5306.11,0.98551,1.04312,1.55553,0.6989,0.55421,0.63326,0.32185,1.15966,1.1214,1.87996,0.006805,0.006805,0.006805
73,5378.46,0.98527,1.02962,1.55728,0.65939,0.56742,0.62599,0.31682,1.16525,1.13992,1.87757,0.00676,0.00676,0.00676
74,5450.19,0.97555,1.01757,1.55014,0.66664,0.58427,0.62935,0.32299,1.14701,1.15906,1.86106,0.006715,0.006715,0.006715
75,5522.25,0.97155,1.01723,1.5388,0.69708,0.54382,0.63234,0.32314,1.15016,1.12772,1.85467,0.00667,0.00667,0.00667
