epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.938,2.53976,4.14283,3.27521,0.14739,0.12416,0.04764,0.01227,2.27355,3.75097,3.02071,0.070086,0.00332378,0.00332378
2,252.884,1.99236,3.16528,2.67655,0.18551,0.1573,0.08317,0.02519,1.84269,3.32459,2.63003,0.040056,0.00662716,0.00662716
3,381.286,1.619,2.76064,2.26301,0.30205,0.29944,0.20616,0.07023,1.57915,2.63286,2.35417,0.00999605,0.00990053,0.00990053
4,509.42,1.46264,2.54634,2.05695,0.37066,0.32022,0.26048,0.08942,1.48636,2.41633,2.22774,0.009865,0.009865,0.009865
5,640.254,1.38179,2.38584,1.94952,0.38615,0.35977,0.2934,0.10302,1.41318,2.31019,2.0846,0.00982,0.00982,0.00982
6,769.108,1.33369,2.24791,1.87402,0.40253,0.36685,0.32022,0.1096,1.41512,2.22847,2.12697,0.009775,0.009775,0.009775
7,896.431,1.30449,2.16743,1.84188,0.39742,0.37079,0.3321,0.12622,1.35008,2.11505,2.00421,0.00973,0.00973,0.00973
8,1027.87,1.2749,2.07426,1.81383,0.46177,0.39494,0.38201,0.15046,1.3347,1.99489,1.98152,0.009685,0.009685,0.009685
9,1158.72,1.26381,2.04651,1.79855,0.47415,0.39888,0.3774,0.13865,1.36098,2.06251,2.06447,0.00964,0.00964,0.00964
10,1289.49,1.25313,1.98832,1.78038,0.46106,0.38737,0.393,0.15588,1.30573,1.95019,1.94679,0.009595,0.009595,0.009595
11,1422.59,1.23981,1.95005,1.76665,0.53858,0.43989,0.43775,0.16766,1.30317,1.94702,1.94369,0.00955,0.00955,0.00955
12,1551.86,1.22546,1.88277,1.73513,0.54669,0.44988,0.4621,0.18307,1.27329,1.8251,1.88991,0.009505,0.009505,0.009505
13,1682.21,1.21708,1.88014,1.7387,0.5596,0.45393,0.4753,0.19393,1.26544,1.833,1.91848,0.00946,0.00946,0.00946
14,1813.04,1.20217,1.81694,1.7256,0.55459,0.43719,0.46031,0.18159,1.28582,1.79473,1.91435,0.009415,0.009415,0.009415
15,1942.49,1.1945,1.81756,1.70807,0.52601,0.42079,0.43077,0.17914,1.26274,1.81666,1.87555,0.00937,0.00937,0.00937
16,2074.14,1.19258,1.78356,1.70883,0.52468,0.45,0.44564,0.17998,1.2731,1.81025,1.90598,0.009325,0.009325,0.009325
17,2205.67,1.17549,1.74315,1.69418,0.56682,0.47783,0.49252,0.19477,1.2839,1.72463,1.93226,0.00928,0.00928,0.00928
18,2334.74,1.16904,1.72786,1.69083,0.59864,0.4309,0.47476,0.20253,1.25455,1.74222,1.88852,0.009235,0.009235,0.009235
