epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.5603,3.65014,3.25548,3.64289,0.07967,0.0621,0.02392,0.00628,3.01997,3.38964,3.25583,0.070086,0.00332378,0.00332378
2,139.972,2.92937,2.67615,2.93441,0.17994,0.18258,0.0969,0.02892,2.55471,2.81897,2.85465,0.040056,0.00662716,0.00662716
3,207.551,2.45169,2.36982,2.49623,0.19171,0.23708,0.12225,0.04064,2.51036,3.55695,2.70079,0.00999605,0.00990053,0.00990053
4,275.489,2.27784,2.2317,2.2992,0.29496,0.29356,0.20857,0.0733,2.36425,2.15746,2.56718,0.009865,0.009865,0.009865
5,343.074,2.19854,2.13049,2.21303,0.31768,0.34438,0.24827,0.08098,2.24731,2.22709,2.44301,0.00982,0.00982,0.00982
6,410.752,2.13176,2.01974,2.1415,0.35565,0.35721,0.28356,0.0996,2.21057,2.09189,2.38014,0.009775,0.009775,0.009775
7,478.841,2.09601,1.96716,2.10352,0.43983,0.34101,0.3249,0.12066,2.12722,1.90187,2.32088,0.00973,0.00973,0.00973
8,546.925,2.04785,1.89115,2.07227,0.40717,0.36461,0.33161,0.12655,2.17924,1.79068,2.33094,0.009685,0.009685,0.009685
9,616.304,2.03987,1.88222,2.05918,0.43461,0.39663,0.37894,0.13695,2.15544,1.80139,2.29306,0.00964,0.00964,0.00964
10,683.665,2.0179,1.84369,2.04167,0.47524,0.38146,0.37027,0.14123,2.13434,1.78557,2.27464,0.009595,0.009595,0.009595
11,752.357,1.99696,1.79922,2.01764,0.47162,0.39062,0.38805,0.14816,2.09659,1.86147,2.24638,0.00955,0.00955,0.00955
12,820.302,1.9805,1.75527,1.9822,0.52609,0.43708,0.43142,0.16531,2.07981,1.78473,2.20803,0.009505,0.009505,0.009505
13,889.29,1.96344,1.74644,1.97479,0.52788,0.42921,0.44953,0.17577,2.03927,1.67901,2.166,0.00946,0.00946,0.00946
14,957.154,1.93545,1.69212,1.96595,0.52935,0.40955,0.42602,0.16872,2.06252,1.71227,2.21322,0.009415,0.009415,0.009415
15,1025.13,1.93338,1.68713,1.94947,0.5158,0.41011,0.43291,0.17444,2.04,1.61156,2.16613,0.00937,0.00937,0.00937
16,1092.33,1.92113,1.66576,1.93611,0.57278,0.39663,0.44046,0.17958,2.02297,1.62509,2.18221,0.009325,0.009325,0.009325
17,1159.54,1.89789,1.63822,1.92117,0.57132,0.44849,0.47141,0.19074,2.00267,1.56274,2.12821,0.00928,0.00928,0.00928
18,1228.08,1.88513,1.63258,1.91514,0.57531,0.43683,0.47234,0.195,2.00206,1.60002,2.14859,0.009235,0.009235,0.009235
19,1295.83,1.88799,1.61042,1.9062,0.55414,0.44827,0.47427,0.19505,1.96694,1.58512,2.11882,0.00919,0.00919,0.00919
20,1363.76,1.88602,1.60086,1.88727,0.55952,0.44045,0.46879,0.19685,1.97633,1.5977,2.12192,0.009145,0.009145,0.009145
21,1431.32,1.86586,1.58111,1.88857,0.60532,0.45899,0.49039,0.20418,1.98019,1.55115,2.10616,0.0091,0.0091,0.0091
22,1499.25,1.86387,1.57967,1.87963,0.57788,0.45608,0.48444,0.20304,1.94728,1.56944,2.08389,0.009055,0.009055,0.009055
23,1567.88,1.8452,1.55163,1.85931,0.62849,0.44764,0.51015,0.22087,1.96113,1.48765,2.09569,0.00901,0.00901,0.00901
24,1636.26,1.84773,1.53403,1.86187,0.60194,0.45618,0.51022,0.21353,1.98761,1.52627,2.1171,0.008965,0.008965,0.008965
25,1705.67,1.8384,1.52852,1.85941,0.58815,0.49775,0.52267,0.22423,1.92156,1.50287,2.06557,0.00892,0.00892,0.00892
26,1773.96,1.82552,1.51374,1.85382,0.61104,0.47135,0.51449,0.22143,1.96217,1.49664,2.07806,0.008875,0.008875,0.008875
