epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.3325,2.51195,3.01646,3.20848,0.19234,0.10112,0.05,0.01304,2.25182,2.86706,2.97068,0.0700752,0.00332498,0.00332498
2,167.337,1.93162,2.57881,2.63075,0.28235,0.21573,0.14724,0.04655,1.76144,2.51651,2.55383,0.040045,0.00662808,0.00662808
3,249.029,1.62439,2.40009,2.29426,0.23426,0.19663,0.12251,0.03875,1.65403,2.56017,2.35205,0.00998445,0.0099009,0.0099009
4,330.895,1.48635,2.28619,2.10552,0.2938,0.30128,0.20319,0.07042,1.49615,2.28454,2.20629,0.00986377,0.00986377,0.00986377
5,411.629,1.41357,2.17043,2.0103,0.36571,0.32247,0.26049,0.09512,1.41379,2.18027,2.11562,0.00981836,0.00981836,0.00981836
6,494.288,1.37058,2.08597,1.94524,0.39331,0.34418,0.28964,0.10374,1.42552,2.01816,2.12874,0.00977295,0.00977295,0.00977295
7,576.767,1.33611,2.00048,1.90681,0.41469,0.35169,0.31629,0.11337,1.39973,2.01216,2.08041,0.00972755,0.00972755,0.00972755
8,658.485,1.32408,1.95663,1.88407,0.44728,0.34607,0.32472,0.12865,1.37247,1.91761,2.03808,0.00968214,0.00968214,0.00968214
9,741.191,1.29728,1.91414,1.87388,0.44189,0.41124,0.38037,0.13931,1.37611,1.81566,2.04545,0.00963673,0.00963673,0.00963673
10,824.604,1.28336,1.85085,1.84723,0.45678,0.39775,0.36697,0.14502,1.34955,1.84136,2.02751,0.00959132,0.00959132,0.00959132
11,907.287,1.27199,1.82046,1.81698,0.486,0.39663,0.39797,0.15181,1.34118,1.77744,2.00853,0.00954591,0.00954591,0.00954591
12,990.059,1.2644,1.78952,1.82177,0.49157,0.42204,0.40933,0.15928,1.32321,1.73102,1.98322,0.0095005,0.0095005,0.0095005
