epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.6308,2.774,3.31321,3.53071,0.02486,0.0736,0.01188,0.00301,1.95876,3.46696,3.03186,0.070086,0.00332378,0.00332378
2,152.62,1.87506,2.74748,2.6304,0.24806,0.22022,0.13189,0.04109,1.52881,2.832,2.50124,0.0400557,0.00662689,0.00662689
3,227.069,1.44437,2.37535,2.21448,0.24753,0.25225,0.16138,0.05429,1.41368,2.60906,2.33235,0.00999523,0.00989972,0.00989972
4,300.354,1.30244,2.23015,2.06578,0.32439,0.27921,0.20769,0.07361,1.35965,2.21047,2.23998,0.00986377,0.00986377,0.00986377
5,374.451,1.23863,2.1046,1.98475,0.32405,0.30225,0.24004,0.08051,1.27536,2.12591,2.14797,0.00981836,0.00981836,0.00981836
6,448.356,1.17112,2.00123,1.9231,0.40095,0.34663,0.30417,0.10838,1.245,1.95107,2.12435,0.00977295,0.00977295,0.00977295
7,522.667,1.13228,1.94149,1.87869,0.38856,0.33809,0.28134,0.10076,1.23716,2.05859,2.09075,0.00972755,0.00972755,0.00972755
8,596.744,1.10546,1.90093,1.84601,0.4499,0.3691,0.33936,0.13136,1.15222,1.83791,1.9982,0.00968214,0.00968214,0.00968214
9,670.628,1.08092,1.84439,1.82654,0.44502,0.38933,0.34557,0.12489,1.19013,1.95244,2.04094,0.00963673,0.00963673,0.00963673
10,747.198,1.05698,1.78987,1.79156,0.44189,0.40899,0.38866,0.15835,1.08916,1.7807,1.93774,0.00959132,0.00959132,0.00959132
11,823.884,1.04213,1.7629,1.77496,0.47991,0.40843,0.39915,0.15563,1.11905,1.70798,1.94536,0.00954591,0.00954591,0.00954591
12,898.714,1.02989,1.7505,1.7702,0.50082,0.4,0.39538,0.15655,1.09029,1.77009,1.91764,0.0095005,0.0095005,0.0095005
