epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.5109,2.48424,2.997,3.19934,0.20578,0.09213,0.05856,0.0156,2.23712,2.82093,3.04051,0.070086,0.00332378,0.00332378
2,160.609,1.96266,2.61785,2.68775,0.26412,0.20164,0.12765,0.04171,1.75832,2.67779,2.57709,0.0400596,0.00663075,0.00663075
3,240.896,1.66177,2.43336,2.33041,0.227,0.24101,0.13035,0.04231,1.58037,2.59354,2.32039,0.0100068,0.00991132,0.00991132
4,322.281,1.50699,2.31161,2.13534,0.33794,0.29045,0.22191,0.077,1.53111,2.19798,2.27746,0.0098812,0.0098812,0.0098812
5,403.498,1.42977,2.19013,2.03245,0.3215,0.3236,0.2441,0.08226,1.45195,2.27112,2.18827,0.0098416,0.0098416,0.0098416
6,485.174,1.36769,2.07525,1.95668,0.3567,0.30787,0.25,0.09017,1.45226,2.07735,2.19399,0.009802,0.009802,0.009802
7,565.814,1.34128,1.98695,1.9183,0.39347,0.34045,0.31052,0.1132,1.40317,2.1395,2.14271,0.0097624,0.0097624,0.0097624
8,646.661,1.31729,1.94675,1.8891,0.44353,0.38146,0.34842,0.13313,1.35678,1.90825,2.05896,0.0097228,0.0097228,0.0097228
9,728.188,1.29438,1.88592,1.86777,0.41375,0.37469,0.352,0.12167,1.38394,1.8915,2.11266,0.0096832,0.0096832,0.0096832
10,809.737,1.27816,1.82901,1.83999,0.4574,0.40169,0.37817,0.14925,1.31974,1.95113,2.01803,0.0096436,0.0096436,0.0096436
11,891.42,1.26944,1.80186,1.82868,0.45363,0.39944,0.37417,0.14215,1.38664,1.75527,2.0824,0.009604,0.009604,0.009604
12,972.857,1.25665,1.77207,1.82075,0.47825,0.4309,0.38912,0.14437,1.32635,1.81793,2.00865,0.0095644,0.0095644,0.0095644
13,1054.64,1.25459,1.74193,1.80803,0.50407,0.43258,0.4236,0.17153,1.30785,1.74368,1.98014,0.0095248,0.0095248,0.0095248
14,1135.4,1.23877,1.71654,1.80129,0.50451,0.44389,0.43454,0.17432,1.30508,1.62204,1.98165,0.0094852,0.0094852,0.0094852
15,1216.12,1.2347,1.69533,1.79399,0.58142,0.46742,0.4784,0.19219,1.28443,1.62815,1.97171,0.0094456,0.0094456,0.0094456
