epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.174,2.52,4.0774,3.20484,0.14116,0.12978,0.04883,0.01142,2.24909,3.55152,2.99237,0.070086,0.00332378,0.00332378
2,229.387,1.961,3.09057,2.61915,0.27232,0.25,0.15306,0.04735,1.69029,3.06597,2.4345,0.0400596,0.00663075,0.00663075
3,346.957,1.60832,2.72524,2.23602,0.27385,0.29382,0.18403,0.06237,1.55018,2.80449,2.24538,0.0100068,0.00991132,0.00991132
4,465.377,1.45399,2.53511,2.05446,0.34692,0.33539,0.2602,0.0887,1.47282,2.54745,2.17822,0.0098812,0.0098812,0.0098812
5,580.875,1.39553,2.39813,1.96367,0.38191,0.35546,0.27452,0.09514,1.40351,2.59026,2.1023,0.0098416,0.0098416,0.0098416
6,700.123,1.33213,2.2575,1.89112,0.39274,0.34888,0.30183,0.10671,1.39471,2.30713,2.115,0.009802,0.009802,0.009802
7,817.529,1.30494,2.16457,1.84642,0.41447,0.40506,0.33545,0.11976,1.34719,2.40823,2.01179,0.0097624,0.0097624,0.0097624
8,934.485,1.28377,2.11256,1.8241,0.4061,0.38483,0.33433,0.13164,1.34735,2.16981,2.02262,0.0097228,0.0097228,0.0097228
9,1049.07,1.26292,2.04504,1.80604,0.45279,0.39142,0.36366,0.13236,1.36184,2.03799,2.04846,0.0096832,0.0096832,0.0096832
10,1165.77,1.24499,1.9856,1.77878,0.47371,0.40899,0.38689,0.15555,1.307,2.07509,1.95468,0.0096436,0.0096436,0.0096436
11,1282.26,1.23503,1.93922,1.76053,0.4917,0.44663,0.43416,0.17283,1.29426,1.83733,1.93091,0.009604,0.009604,0.009604
12,1398.75,1.21916,1.91727,1.7539,0.53701,0.40843,0.43217,0.16473,1.31672,1.95399,1.98341,0.0095644,0.0095644,0.0095644
13,1518.29,1.22147,1.8851,1.74726,0.56625,0.4382,0.46339,0.18135,1.28743,1.94573,1.93011,0.0095248,0.0095248,0.0095248
14,1635.56,1.2086,1.8547,1.737,0.53704,0.41969,0.44833,0.18488,1.28466,1.80051,1.9147,0.0094852,0.0094852,0.0094852
15,1751.88,1.20142,1.81952,1.7283,0.54872,0.47921,0.48633,0.18037,1.27333,1.94085,1.904,0.0094456,0.0094456,0.0094456
16,1869.05,1.19103,1.81125,1.71131,0.54023,0.44551,0.46079,0.18411,1.29012,1.82413,1.94262,0.009406,0.009406,0.009406
17,1989.56,1.18077,1.75593,1.70519,0.57295,0.42472,0.47124,0.19965,1.2303,1.83074,1.87294,0.0093664,0.0093664,0.0093664
18,2107.16,1.17715,1.75141,1.69823,0.56759,0.43146,0.46575,0.19513,1.22757,1.80563,1.84963,0.0093268,0.0093268,0.0093268
19,2226.98,1.17092,1.736,1.68516,0.57628,0.48708,0.50872,0.21354,1.24792,1.76817,1.86732,0.0092872,0.0092872,0.0092872
20,2340.66,1.16147,1.72975,1.6802,0.60878,0.47303,0.51371,0.2167,1.2213,1.74162,1.85812,0.0092476,0.0092476,0.0092476
21,2454.71,1.14871,1.66771,1.66661,0.59311,0.48971,0.51472,0.21959,1.22504,1.67827,1.85437,0.009208,0.009208,0.009208
22,2570.45,1.15017,1.66088,1.66327,0.5778,0.46292,0.4917,0.21033,1.23043,1.75572,1.86017,0.0091684,0.0091684,0.0091684
23,2685.69,1.14139,1.6518,1.66022,0.60816,0.48034,0.52331,0.22627,1.20037,1.64998,1.81099,0.0091288,0.0091288,0.0091288
24,2801.01,1.14068,1.64472,1.66326,0.59845,0.5074,0.54136,0.22325,1.24622,1.6607,1.86912,0.0090892,0.0090892,0.0090892
25,2916.09,1.12844,1.61126,1.63968,0.60961,0.48258,0.52103,0.22268,1.22994,1.66088,1.84674,0.0090496,0.0090496,0.0090496
26,3029.5,1.12975,1.59959,1.64968,0.64724,0.4691,0.52104,0.22395,1.23457,1.68138,1.86093,0.00901,0.00901,0.00901
27,3146.26,1.12115,1.59188,1.62633,0.59434,0.48427,0.53776,0.23718,1.20369,1.62303,1.83064,0.0089704,0.0089704,0.0089704
28,3263.05,1.11881,1.57248,1.63442,0.61768,0.4927,0.54627,0.23771,1.21854,1.61279,1.82786,0.0089308,0.0089308,0.0089308
29,3379.64,1.10932,1.54615,1.62332,0.60809,0.47158,0.51528,0.2289,1.2227,1.63101,1.85929,0.0088912,0.0088912,0.0088912
