epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.875,2.53258,4.13705,3.27829,0.11311,0.10112,0.03977,0.00963,2.28312,3.84729,3.0612,0.070086,0.00332378,0.00332378
2,233.386,1.98993,3.18555,2.69877,0.22831,0.21475,0.12823,0.03941,1.74606,2.92978,2.57144,0.040056,0.00662716,0.00662716
3,349.634,1.61771,2.76387,2.27291,0.26632,0.26292,0.17604,0.06159,1.54936,2.75617,2.30596,0.00999605,0.00990053,0.00990053
4,467.371,1.4573,2.53057,2.05297,0.35774,0.33933,0.27671,0.09819,1.45245,2.43915,2.13025,0.009865,0.009865,0.009865
5,586.6,1.38062,2.37387,1.94505,0.37362,0.3618,0.2909,0.10176,1.41439,2.377,2.0927,0.00982,0.00982,0.00982
6,703.737,1.32525,2.23145,1.86769,0.40011,0.38107,0.32809,0.11512,1.39928,2.22379,2.11515,0.009775,0.009775,0.009775
7,820.466,1.29835,2.15718,1.83415,0.43555,0.39719,0.33625,0.12799,1.34441,2.27956,2.0246,0.00973,0.00973,0.00973
8,937.964,1.27516,2.06432,1.82569,0.48115,0.38708,0.37464,0.14243,1.34723,2.02581,2.00508,0.009685,0.009685,0.009685
9,1055.77,1.26255,2.04545,1.80018,0.55012,0.40281,0.40471,0.15182,1.34763,2.09879,2.0261,0.00964,0.00964,0.00964
10,1172.73,1.2524,1.99094,1.79328,0.50399,0.42416,0.427,0.16464,1.3145,2.02313,1.97882,0.009595,0.009595,0.009595
11,1289.38,1.23536,1.94291,1.77637,0.53506,0.43034,0.43612,0.17087,1.31512,1.88849,1.97205,0.00955,0.00955,0.00955
12,1406.99,1.21798,1.88053,1.73972,0.57226,0.44421,0.46344,0.17689,1.30922,1.91052,1.93188,0.009505,0.009505,0.009505
13,1523.82,1.2139,1.86576,1.74213,0.51068,0.44561,0.46582,0.19186,1.28177,1.76323,1.91857,0.00946,0.00946,0.00946
14,1640.1,1.20152,1.81014,1.73565,0.55614,0.40674,0.44525,0.17523,1.29374,1.85656,1.93434,0.009415,0.009415,0.009415
