epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.093,2.53822,4.06706,3.23391,0.14672,0.10056,0.04564,0.01187,2.31431,3.75008,3.0628,0.070086,0.00332378,0.00332378
2,265.545,1.97724,3.10327,2.64368,0.2769,0.25618,0.16639,0.0538,1.68691,3.08474,2.44989,0.0400557,0.00662689,0.00662689
3,398.475,1.60062,2.73817,2.23452,0.27569,0.26966,0.17393,0.058,1.51393,2.74325,2.19917,0.00999523,0.00989972,0.00989972
4,528.689,1.44853,2.54556,2.03648,0.34937,0.30899,0.25695,0.08838,1.49234,2.41109,2.18858,0.00986377,0.00986377,0.00986377
5,659.905,1.38537,2.39621,1.93814,0.34902,0.33764,0.26715,0.09174,1.44365,2.39394,2.12006,0.00981836,0.00981836,0.00981836
6,792.33,1.33124,2.25756,1.87829,0.40802,0.36067,0.2987,0.11122,1.39501,2.24149,2.07904,0.00977295,0.00977295,0.00977295
7,925.842,1.30246,2.17359,1.84059,0.41461,0.39494,0.35687,0.1277,1.3492,2.24671,2.0004,0.00972755,0.00972755,0.00972755
8,1056.39,1.28215,2.11751,1.81337,0.46487,0.42865,0.38174,0.15165,1.31679,2.07742,1.97304,0.00968214,0.00968214,0.00968214
9,1189.4,1.26496,2.05455,1.79877,0.46231,0.40674,0.379,0.13351,1.34664,2.02964,2.00215,0.00963673,0.00963673,0.00963673
10,1322.68,1.24661,1.98697,1.76857,0.47878,0.42978,0.40825,0.16194,1.28791,2.04176,1.90651,0.00959132,0.00959132,0.00959132
11,1456.19,1.23558,1.94951,1.75733,0.5283,0.42303,0.43772,0.17281,1.29612,1.8736,1.92377,0.00954591,0.00954591,0.00954591
12,1589.93,1.21596,1.92096,1.73978,0.51908,0.42135,0.42595,0.16301,1.31398,1.90953,1.9493,0.0095005,0.0095005,0.0095005
13,1724.75,1.22207,1.89299,1.73684,0.52996,0.44382,0.45253,0.1763,1.29655,1.93372,1.92195,0.00945509,0.00945509,0.00945509
14,1855.69,1.20519,1.8597,1.73173,0.53391,0.44213,0.46963,0.19217,1.25933,1.83889,1.87997,0.00940968,0.00940968,0.00940968
15,1988.63,1.20307,1.8259,1.72864,0.56578,0.45449,0.48327,0.18822,1.28235,1.87606,1.87816,0.00936427,0.00936427,0.00936427
16,2125.95,1.19163,1.81962,1.71483,0.53944,0.44438,0.47158,0.19451,1.23692,1.79103,1.85936,0.00931886,0.00931886,0.00931886
17,2260.28,1.18009,1.75869,1.70171,0.57589,0.44326,0.48059,0.19887,1.24804,1.78083,1.89549,0.00927345,0.00927345,0.00927345
18,2396.54,1.17441,1.75777,1.6908,0.56638,0.42809,0.46794,0.20066,1.23887,1.79565,1.85676,0.00922805,0.00922805,0.00922805
19,2530.92,1.17133,1.73545,1.68573,0.57753,0.46685,0.51245,0.2139,1.23929,1.69515,1.84007,0.00918264,0.00918264,0.00918264
20,2661.31,1.16357,1.73056,1.6853,0.60254,0.4616,0.51304,0.2116,1.21601,1.69264,1.83802,0.00913723,0.00913723,0.00913723
21,2794.8,1.14881,1.66923,1.65994,0.58817,0.48221,0.52584,0.22405,1.20474,1.67792,1.80102,0.00909182,0.00909182,0.00909182
22,2924.62,1.14819,1.6618,1.66169,0.59466,0.47584,0.5123,0.21965,1.21733,1.67788,1.83197,0.00904641,0.00904641,0.00904641
23,3055.64,1.14092,1.65552,1.66253,0.61407,0.4573,0.51647,0.21726,1.22558,1.65777,1.85163,0.009001,0.009001,0.009001
24,3185.21,1.13842,1.6429,1.65805,0.60751,0.49304,0.53957,0.23323,1.20597,1.61877,1.80316,0.00895559,0.00895559,0.00895559
25,3317.42,1.12895,1.61216,1.64081,0.55907,0.49326,0.51768,0.22545,1.23544,1.62908,1.83497,0.00891018,0.00891018,0.00891018
